Generation, Weighted Random, GP1, GP2, GP3
1,30,26,22,22
2,37,17,30,16
3,39,11,38,10
4,35,16,21,28
5,33,22,14,31
6,33,23,19,25
7,30,30,23,17
8,33,21,27,19
9,37,24,10,28
10,32,16,25,27
11,27,26,22,25
12,28,20,26,26
13,32,24,21,23
14,51,7,6,36
15,28,23,26,23
16,27,25,25,23
17,26,20,25,28
18,18,24,28,30
19,21,21,28,28
20,25,28,26,20
21,27,21,31,21
22,40,21,18,21
23,31,20,28,21
24,30,21,23,26
25,28,22,27,23
26,24,18,28,28
27,36,25,18,21
28,30,28,20,22
29,28,25,25,22
30,23,26,32,19
31,22,33,21,24
32,28,28,20,23
33,33,27,21,19
34,23,28,20,28
35,34,20,22,24
36,42,33,15,9
37,31,19,19,31
38,38,36,11,14
39,70,9,10,5
40,52,11,19,10
41,50,21,16,9
42,51,13,12,13
43,41,10,23,18
44,61,9,13,12
45,56,10,14,8
46,55,11,15,11
47,48,17,14,12
48,50,8,10,21
49,77,12,4,1
50,52,12,16,17
